ticker,name,sector,cap_tier,avg_volume,exchange
BTI,British American Tobacco  Indus,Consumer Defensive,Large-Cap,3488424,NYQ
PLD,"Prologis, Inc.",Real Estate,Large-Cap,3326508,NYQ
KKR,KKR & Co. Inc.,Financial Services,Large-Cap,4244756,NYQ
IBKR,"Interactive Brokers Group, Inc.",Financial Services,Large-Cap,4035874,NMS
PGR,Progressive Corporation (The),Financial Services,Large-Cap,3431927,NYQ
CB,Chubb Limited,Financial Services,Large-Cap,1791348,NYQ
CEG,Constellation Energy Corporatio,Utilities,Large-Cap,2745691,NMS
PH,Parker-Hannifin Corporation,Industrials,Large-Cap,634416,NYQ
CRWD,"CrowdStrike Holdings, Inc.",Technology,Large-Cap,2355083,NMS
BMY,Bristol-Myers Squibb Company,Healthcare,Large-Cap,15421338,NYQ
SNY,Sanofi,Healthcare,Large-Cap,2617425,NMS
VRTX,Vertex Pharmaceuticals Incorpor,Healthcare,Large-Cap,1393006,NMS
IBN,ICICI Bank Limited,Financial Services,Large-Cap,5227190,NYQ
HCA,"HCA Healthcare, Inc.",Healthcare,Large-Cap,1281696,NYQ
CMCSA,Comcast Corporation,Communication Services,Large-Cap,37449239,NMS
ARM,Arm Holdings plc,Technology,Large-Cap,4400953,NMS
GLD,SPDR Gold Shares,N/A,Large-Cap,13467180,PCX
SPOT,Spotify Technology S.A.,Communication Services,Large-Cap,1994891,NYQ
HOOD,"Robinhood Markets, Inc.",Financial Services,Large-Cap,25622977,NMS
MELI,"MercadoLibre, Inc.",Consumer Cyclical,Large-Cap,520793,NMS
BN,Brookfield Corporation,Financial Services,Large-Cap,3919346,NYQ
ADP,"Automatic Data Processing, Inc.",Technology,Large-Cap,2206793,NMS
MFG,"Mizuho Financial Group, Inc. Sp",Financial Services,Large-Cap,3082930,NYQ
MCK,McKesson Corporation,Healthcare,Large-Cap,692725,NYQ
SBUX,Starbucks Corporation,Consumer Cyclical,Large-Cap,9490606,NMS
MO,"Altria Group, Inc.",Consumer Defensive,Large-Cap,9256390,NYQ
GSK,GSK plc,Healthcare,Large-Cap,4504259,NYQ
ENB,Enbridge Inc,Energy,Large-Cap,4093912,NYQ
CVS,CVS Health Corporation,Healthcare,Large-Cap,7236012,NYQ
CVNA,Carvana Co.,Consumer Cyclical,Large-Cap,4070924,NYQ
CME,CME Group Inc.,Financial Services,Large-Cap,1893737,NMS
AEM,Agnico Eagle Mines Limited,Basic Materials,Large-Cap,2514862,NYQ
ICE,Intercontinental Exchange Inc.,Financial Services,Large-Cap,3566159,NYQ
GD,General Dynamics Corporation,Industrials,Large-Cap,1234396,NYQ
SO,Southern Company (The),Utilities,Large-Cap,5724056,NYQ
NKE,"Nike, Inc.",Consumer Cyclical,Large-Cap,17788319,NYQ
SNPS,"Synopsys, Inc.",Technology,Large-Cap,2094630,NMS
MCO,Moody's Corporation,Financial Services,Large-Cap,794859,NYQ
BMO,Bank Of Montreal,Financial Services,Large-Cap,696324,NYQ
NOC,Northrop Grumman Corporation,Industrials,Large-Cap,834279,NYQ
DUK,Duke Energy Corporation (Holdin,Utilities,Large-Cap,3365680,NYQ
DASH,"DoorDash, Inc.",Consumer Cyclical,Large-Cap,5302946,NMS
BP,BP p.l.c.,Energy,Large-Cap,7798282,NYQ
UPS,"United Parcel Service, Inc.",Industrials,Large-Cap,6547503,NYQ
BNS,Bank Nova Scotia Halifax Pfd 3,Financial Services,Large-Cap,1857558,NYQ
MMM,3M Company,Industrials,Large-Cap,2961029,NYQ
BCS,Barclays PLC,Financial Services,Large-Cap,5509316,NYQ
NTES,"NetEase, Inc.",Communication Services,Large-Cap,638261,NMS
HWM,Howmet Aerospace Inc.,Industrials,Large-Cap,2178035,NYQ
SHW,Sherwin-Williams Company (The),Basic Materials,Large-Cap,1904864,NYQ
WM,"Waste Management, Inc.",Industrials,Large-Cap,2004137,NYQ
BK,The Bank of New York Mellon Cor,Financial Services,Large-Cap,3465075,NYQ
MAR,Marriott International,Consumer Cyclical,Large-Cap,1561367,NMS
FCX,"Freeport-McMoRan, Inc.",Basic Materials,Large-Cap,15953193,NYQ
TT,Trane Technologies plc,Industrials,Large-Cap,1396100,NYQ
ING,"ING Group, N.V.",Financial Services,Large-Cap,1795550,NYQ
B,Barrick Mining Corporation,Basic Materials,Large-Cap,15558929,NYQ
CDNS,"Cadence Design Systems, Inc.",Technology,Large-Cap,1781640,NMS
CM,Canadian Imperial Bank of Comme,Financial Services,Large-Cap,1075003,NYQ
IAU,iShares Gold Trust Shares,N/A,Large-Cap,10385820,PCX
ELV,"Elevance Health, Inc.",Healthcare,Large-Cap,1556220,NYQ
BAM,Brookfield Asset Management Inc,Financial Services,Large-Cap,2338416,NYQ
APO,"Apollo Global Management, Inc. ",Financial Services,Large-Cap,3074230,NYQ
PNC,"PNC Financial Services Group, I",Financial Services,Large-Cap,2050200,NYQ
EMR,Emerson Electric Company,Industrials,Large-Cap,2627159,NYQ
USB,U.S. Bancorp,Financial Services,Large-Cap,8916925,NYQ
AMT,American Tower Corporation (REI,Real Estate,Large-Cap,3066272,NYQ
PBR,Petroleo Brasileiro S.A. Petrob,Energy,Large-Cap,20443977,NYQ
CRH,CRH PLC,Basic Materials,Large-Cap,7448140,NYQ
ABNB,"Airbnb, Inc.",Consumer Cyclical,Large-Cap,4729882,NMS
ITUB,Itau Unibanco Banco Holding SA,Financial Services,Large-Cap,19974321,NYQ
NU,Nu Holdings Ltd.,Financial Services,Large-Cap,36029170,NYQ
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical,Large-Cap,5593017,NMS
LYG,Lloyds Banking Group Plc,Financial Services,Large-Cap,7267759,NYQ
REGN,"Regeneron Pharmaceuticals, Inc.",Healthcare,Large-Cap,1001482,NMS
DELL,Dell Technologies Inc.,Technology,Large-Cap,6496982,NYQ
EQIX,"Equinix, Inc.",Real Estate,Large-Cap,554075,NMS
NGG,"National Grid Transco, PLC Nati",Utilities,Large-Cap,615822,NYQ
INFY,Infosys Limited,Technology,Large-Cap,14224629,NYQ
CTAS,Cintas Corporation,Industrials,Large-Cap,2079800,NMS
ECL,Ecolab Inc.,Basic Materials,Large-Cap,1425654,NYQ
CMI,Cummins Inc.,Industrials,Large-Cap,901658,NYQ
GLW,Corning Incorporated,Technology,Large-Cap,6460298,NYQ
GM,General Motors Company,Consumer Cyclical,Large-Cap,9707114,NYQ
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Large-Cap,2331900,NYQ
RELX,RELX PLC PLC,Industrials,Large-Cap,1861153,NYQ
MNST,Monster Beverage Corporation,Consumer Defensive,Large-Cap,5420500,NMS
ITW,Illinois Tool Works Inc.,Industrials,Large-Cap,1273635,NYQ
DB,Deutsche Bank AG,Financial Services,Large-Cap,2342754,NYQ
AON,Aon plc,Financial Services,Large-Cap,1075322,NYQ
SE,Sea Limited,Consumer Cyclical,Large-Cap,4824258,NYQ
WMB,"Williams Companies, Inc. (The)",Energy,Large-Cap,7246411,NYQ
MDLZ,"Mondelez International, Inc.",Consumer Defensive,Large-Cap,10654658,NMS
FDX,FedEx Corporation,Industrials,Large-Cap,1668069,NYQ
WDC,Western Digital Corporation,Technology,Large-Cap,8797550,NMS
JCI,Johnson Controls International ,Industrials,Large-Cap,5386158,NYQ
CI,The Cigna Group,Healthcare,Large-Cap,2006254,NYQ
CNQ,Canadian Natural Resources Limi,Energy,Large-Cap,7687585,NYQ
WBD,"Warner Bros. Discovery, Inc. - ",Communication Services,Large-Cap,45374879,NMS
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Large-Cap,1686320,NYQ
SNOW,Snowflake Inc.,Technology,Large-Cap,4710208,NYQ
EPD,Enterprise Products Partners L.,Energy,Large-Cap,3828904,NYQ
SLB,SLB Limited,Energy,Large-Cap,15798882,NYQ
SPG,"Simon Property Group, Inc.",Real Estate,Large-Cap,1369358,NYQ
MRVL,"Marvell Technology, Inc.",Technology,Large-Cap,16984109,NMS
TEL,TE Connectivity plc,Technology,Large-Cap,1960067,NYQ
COIN,"Coinbase Global, Inc. - 3",Financial Services,Large-Cap,9128166,NMS
CL,Colgate-Palmolive Company,Consumer Defensive,Large-Cap,6656398,NYQ
NWG,NatWest Group plc,Financial Services,Large-Cap,2397150,NYQ
STX,Seagate Technology Holdings PLC,Technology,Large-Cap,4094703,NMS
COR,"Cencora, Inc.",Healthcare,Large-Cap,1404382,NYQ
CSX,CSX Corporation,Industrials,Large-Cap,12767503,NMS
AJG,Arthur J. Gallagher & Co.,Financial Services,Large-Cap,1763201,NYQ
NET,"Cloudflare, Inc.",Technology,Large-Cap,2638166,NYQ
CP,Canadian Pacific Kansas City Li,Industrials,Large-Cap,2424679,NYQ
RSG,"Republic Services, Inc.",Industrials,Large-Cap,1531085,NYQ
VRT,"Vertiv Holdings, LLC",Industrials,Large-Cap,6878470,NYQ
PWR,"Quanta Services, Inc.",Industrials,Large-Cap,1015072,NYQ
MSI,"Motorola Solutions, Inc.",Technology,Large-Cap,1406106,NYQ
NSC,Norfolk Southern Corporation,Industrials,Large-Cap,1244338,NYQ
TFC,Truist Financial Corporation,Financial Services,Large-Cap,7846014,NYQ
LHX,"L3Harris Technologies, Inc.",Industrials,Large-Cap,1265469,NYQ
RKT,"Rocket Companies, Inc.",Financial Services,Large-Cap,33114659,NYQ
RACE,Ferrari N.V.,Consumer Cyclical,Large-Cap,685187,NYQ
AEP,American Electric Power Company,Utilities,Large-Cap,3461675,NMS
EQNR,Equinor ASA,Energy,Large-Cap,3956983,NYQ
MFC,Manulife Financial Corporation,Financial Services,Large-Cap,2032472,NYQ
PCAR,PACCAR Inc.,Industrials,Large-Cap,3283704,NMS
ROST,"Ross Stores, Inc.",Consumer Cyclical,Large-Cap,2539017,NMS
VALE,VALE S.A.,Basic Materials,Large-Cap,32891383,NYQ
AMX,"America Movil, S.A.B. de C.V.",Communication Services,Large-Cap,2024545,NYQ
TRV,"The Travelers Companies, Inc.",Financial Services,Large-Cap,1415762,NYQ
KMI,"Kinder Morgan, Inc.",Energy,Large-Cap,13667875,NYQ
CNI,Canadian National Railway Compa,Industrials,Large-Cap,1338088,NYQ
NXPI,NXP Semiconductors N.V.,Technology,Large-Cap,2855243,NMS
WPM,Wheaton Precious Metals Corp,Basic Materials,Large-Cap,1976325,NYQ
EOG,"EOG Resources, Inc.",Energy,Large-Cap,3889320,NYQ
SU,Suncor Energy  Inc.,Energy,Large-Cap,4470830,NYQ
ET,Energy Transfer LP,Energy,Large-Cap,14639014,NYQ
SRE,DBA Sempra,Utilities,Large-Cap,3330179,NYQ
APD,"Air Products and Chemicals, Inc",Basic Materials,Large-Cap,1559254,NYQ
BDX,"Becton, Dickinson and Company",Healthcare,Large-Cap,2188579,NYQ
URI,"United Rentals, Inc.",Industrials,Large-Cap,643890,NYQ
AFL,AFLAC Incorporated,Financial Services,Large-Cap,2292722,NYQ
FTNT,"Fortinet, Inc.",Technology,Large-Cap,5659806,NMS
RBLX,Roblox Corporation,Communication Services,Large-Cap,8645711,NYQ
VLO,Valero Energy Corporation,Energy,Large-Cap,2985822,NYQ
TRI,Thomson Reuters Corp,Industrials,Large-Cap,1072919,NMS
NDAQ,"Nasdaq, Inc.",Financial Services,Large-Cap,3230043,NMS
VST,Vistra Corp.,Utilities,Large-Cap,4955222,NYQ
PSX,Phillips 66,Energy,Large-Cap,2432067,NYQ
TRP,TC Energy Corporation,Energy,Large-Cap,2169209,NYQ
IDXX,"IDEXX Laboratories, Inc.",Healthcare,Large-Cap,553795,NMS
SNDK,Sandisk Corporation,Technology,Large-Cap,12015830,NMS
MPLX,MPLX LP,Energy,Large-Cap,1546946,NYQ
ZTS,Zoetis Inc.,Healthcare,Large-Cap,5042769,NYQ
DLR,"Digital Realty Trust, Inc.",Real Estate,Large-Cap,1979458,NYQ
ARES,Ares Management Corporation,Financial Services,Large-Cap,2892519,NYQ
ADSK,"Autodesk, Inc.",Technology,Large-Cap,1479059,NMS
O,Realty Income Corporation,Real Estate,Large-Cap,6264832,NYQ
F,Ford Motor Company,Consumer Cyclical,Large-Cap,81870045,NYQ
PYPL,"PayPal Holdings, Inc.",Financial Services,Large-Cap,16501643,NMS
MPC,Marathon Petroleum Corporation,Energy,Large-Cap,2195572,NYQ
TAK,Takeda Pharmaceutical Company L,Healthcare,Large-Cap,2738859,NYQ
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Large-Cap,21842096,NYQ
GBTC,Grayscale Bitcoin Trust (BTC),N/A,Large-Cap,5376067,PCX
BIDU,"Baidu, Inc.",Communication Services,Large-Cap,3458845,NMS
MET,"MetLife, Inc.",Financial Services,Large-Cap,3488277,NYQ
MSTR,Strategy Inc,Technology,Large-Cap,18651811,NMS
WDAY,"Workday, Inc.",Technology,Large-Cap,2795345,NMS
ALL,Allstate Corporation (The),Financial Services,Large-Cap,1613612,NYQ
D,"Dominion Energy, Inc.",Utilities,Large-Cap,6065969,NYQ
EA,Electronic Arts Inc.,Communication Services,Large-Cap,2061727,NMS
DEO,Diageo plc,Consumer Defensive,Large-Cap,1701814,NYQ
CAH,"Cardinal Health, Inc.",Healthcare,Large-Cap,2250685,NYQ
PSA,Public Storage,Real Estate,Large-Cap,1119687,NYQ
IMO,Imperial Oil Limited,Energy,Large-Cap,589019,ASE
AU,AngloGold Ashanti PLC,Basic Materials,Large-Cap,2782491,NYQ
AXON,"Axon Enterprise, Inc.",Industrials,Large-Cap,844501,NMS
TGT,Target Corporation,Consumer Defensive,Large-Cap,7154403,NYQ
FERG,Ferguson Enterprises Inc.,Industrials,Large-Cap,1486538,NYQ
BKR,Baker Hughes Company,Energy,Large-Cap,7552629,NMS
CBRE,CBRE Group Inc,Real Estate,Large-Cap,1468495,NYQ
RKLB,Rocket Lab Corporation,Industrials,Large-Cap,22874838,NCM
EW,Edwards Lifesciences Corporatio,Healthcare,Large-Cap,3955362,NYQ
AME,"AMETEK, Inc.",Industrials,Large-Cap,1374927,NYQ
FAST,Fastenal Company,Industrials,Large-Cap,7136520,NMS
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare,Large-Cap,1336519,NMS
CCJ,Cameco Corporation,Energy,Large-Cap,4534677,NYQ
FER,Ferrovial SE,Industrials,Large-Cap,2267261,NMS
RDDT,"Reddit, Inc.",Communication Services,Large-Cap,4835101,NYQ
AMP,"Ameriprise Financial, Inc.",Financial Services,Large-Cap,602388,NYQ
OKE,"ONEOK, Inc.",Energy,Large-Cap,4115683,NYQ
CTVA,"Corteva, Inc.",Basic Materials,Large-Cap,3816830,NYQ
CARR,Carrier Global Corporation,Industrials,Large-Cap,7113209,NYQ
BSBR,Banco Santander Brasil SA,Financial Services,Large-Cap,610664,NYQ
MPWR,"Monolithic Power Systems, Inc.",Technology,Large-Cap,686003,NMS
ROK,"Rockwell Automation, Inc.",Industrials,Large-Cap,849120,NYQ
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Large-Cap,3148112,NYQ
MSCI,MSCI Inc.,Financial Services,Large-Cap,610764,NYQ
FNV,Franco-Nevada Corporation,Basic Materials,Large-Cap,758891,NYQ
ROP,"Roper Technologies, Inc.",Technology,Large-Cap,1037154,NMS
TTWO,"Take-Two Interactive Software, ",Communication Services,Large-Cap,1522403,NMS
XEL,Xcel Energy Inc.,Utilities,Large-Cap,5135711,NMS
GFI,Gold Fields Limited,Basic Materials,Large-Cap,3292604,NYQ
DAL,"Delta Air Lines, Inc.",Industrials,Large-Cap,7744141,NYQ
CRWV,"CoreWeave, Inc.",Technology,Large-Cap,28486498,NMS
FANG,"Diamondback Energy, Inc.",Energy,Large-Cap,1784353,NMS
HLN,Haleon plc,Healthcare,Large-Cap,9169648,NYQ
EXC,Exelon Corporation,Utilities,Large-Cap,7499500,NMS
JD,"JD.com, Inc.",Consumer Cyclical,Large-Cap,10389809,NMS
LNG,"Cheniere Energy, Inc.",Energy,Large-Cap,1999054,NYQ
OXY,Occidental Petroleum Corporatio,Energy,Large-Cap,9897016,NYQ
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Large-Cap,2087319,NYQ
EBAY,eBay Inc.,Consumer Cyclical,Large-Cap,4754282,NMS
DDOG,"Datadog, Inc.",Technology,Large-Cap,4367759,NMS
ETR,Entergy Corporation,Utilities,Large-Cap,2581727,NYQ
WCN,"Waste Connections, Inc.",Industrials,Large-Cap,1247788,NYQ
CTSH,Cognizant Technology Solutions ,Technology,Large-Cap,4788712,NMS
EL,"Estee Lauder Companies, Inc. (T",Consumer Defensive,Large-Cap,3595116,NYQ
PRU,"Prudential Financial, Inc.",Financial Services,Large-Cap,1659735,NYQ
KR,Kroger Company (The),Consumer Defensive,Large-Cap,6542329,NYQ
A,"Agilent Technologies, Inc.",Healthcare,Large-Cap,1928938,NYQ
ASX,"ASE Technology Holding Co., Ltd",Technology,Large-Cap,7250640,NYQ
LVS,Las Vegas Sands Corp.,Consumer Cyclical,Large-Cap,5557485,NYQ
IQV,"IQVIA Holdings, Inc.",Healthcare,Large-Cap,1452569,NYQ
TCOM,Trip.com Group Limited,Consumer Cyclical,Large-Cap,2387098,NMS
ABEV,Ambev S.A.,Consumer Defensive,Large-Cap,35137156,NYQ
GRMN,Garmin Ltd.,Technology,Large-Cap,1022550,NYQ
KGC,Kinross Gold Corporation,Basic Materials,Large-Cap,8855977,NYQ
PUK,Prudential Public Limited Compa,Financial Services,Large-Cap,844866,NYQ
CCEP,Coca-Cola Europacific Partners ,Consumer Defensive,Large-Cap,1603374,NMS
AIG,"American International Group, I",Financial Services,Large-Cap,4899806,NYQ
HSY,The Hershey Company,Consumer Defensive,Large-Cap,1716650,NYQ
MCHP,Microchip Technology Incorporat,Technology,Large-Cap,8565322,NMS
SYM,Symbotic Inc.,Industrials,Large-Cap,2687882,NGM
XYZ,"Block, Inc.",Technology,Large-Cap,7128709,NYQ
